Name,NumWords,FirstName,MiddleName,LastName
Prince Charles,2,Prince,,Charles
Able Fleming,2,Able,,Fleming
Usain Bolt,2,Usain,,Bolt
Reginald Cattermole,2,Reginald,,Cattermole
Rionach Sayre,2,Rionach,,Sayre
Wilhelmina Tuft,2,Wilhelmina,,Tuft
Ritchie Coote,2,Ritchie,,Coote
Iefan Rice,2,Iefan,,Rice
Catriona McCormack,2,Catriona,,McCormack
Pope John Paul II,4,Pope,John Paul,II
Broderick Bode,2,Broderick,,Bode
Quirinus Quirrell,2,Quirinus,,Quirrell
Artemius Lawson,2,Artemius,,Lawson
Hannah Abbott,2,Hannah,,Abbott
Timothy Blenkinsop,2,Timothy,,Blenkinsop
Matilda Dukelow,2,Matilda,,Dukelow
Sally Smith,2,Sally,,Smith
Jesse Owens,2,Jesse,,Owens
Kevin Hopwood,2,Kevin,,Hopwood
Ellie Cattermole,2,Ellie,,Cattermole
Rawya Zaghloul,2,Rawya,,Zaghloul
Gellert Grindelwald,2,Gellert,,Grindelwald
Charity Wilkinson,2,Charity,,Wilkinson
Abraham Lincoln,2,Abraham,,Lincoln
Silvio Astolfi,2,Silvio,,Astolfi
Aidan Kiely,2,Aidan,,Kiely
Mrs. Diggory,2,Mrs.,,Diggory
Roland Kegg,2,Roland,,Kegg
Jimmy Wales,2,Jimmy,,Wales
Sybill Trelawney,2,Sybill,,Trelawney
Peter Pettigrew,2,Peter,,Pettigrew
Eurig Cadwallader,2,Eurig,,Cadwallader
Susan Bones,2,Susan,,Bones
Oddvar Spillum,2,Oddvar,,Spillum
Cygnus Black,2,Cygnus,,Black
Phyllis Vance,2,Phyllis,,Vance
Justus Pilliwickle,2,Justus,,Pilliwickle
Percival Graves,2,Percival,,Graves
Teddy Lupin,2,Teddy,,Lupin
Beaumont Marjoribanks,2,Beaumont,,Marjoribanks
Newt Scamander,2,Newt,,Scamander
Clairvius Hyppolite,2,Clairvius,,Hyppolite
John Lennon,2,John,,Lennon
Armand Malfoy,2,Armand,,Malfoy
Joshua Sankara,2,Joshua,,Sankara
Rosa Parks,2,Rosa,,Parks
Babajide Akingbade,2,Babajide,,Akingbade
Perseus Parkinson,2,Perseus,,Parkinson
Cuthbert Mockridge,2,Cuthbert,,Mockridge
Fred Weasley,2,Fred,,Weasley
Dimitar Draganov,2,Dimitar,,Draganov
Albert Einstein,2,Albert,,Einstein
Jon Stewart,2,Jon,,Stewart
Gondulphus Graves,2,Gondulphus,,Graves
Heinrich Eberstadt,2,Heinrich,,Eberstadt
Elladora Ketteridge,2,Elladora,,Ketteridge
Meredith Palmer,2,Meredith,,Palmer
Pete Miller,2,Pete,,Miller
Sigrid Kristoffersen,2,Sigrid,,Kristoffersen
Lysander Scamander,2,Lysander,,Scamander
Gilbert Wimple,2,Gilbert,,Wimple
Greek chappie,2,Greek,,chappie
Mr. Boot,2,Mr.,,Boot
Fernando Diaz,2,Fernando,,Diaz
Cassiopeia Black,2,Cassiopeia,,Black
Agilbert Fontaine,2,Agilbert,,Fontaine
Doris Crockford,2,Doris,,Crockford
Winkus Oddpick,2,Winkus,,Oddpick
Margaret Thatcher,2,Margaret,,Thatcher
Madam Primpernelle,2,Madam,,Primpernelle
Brevis Birch,2,Brevis,,Birch
Wilbert Slinkhard,2,Wilbert,,Slinkhard
Blenheim Stalk,2,Blenheim,,Stalk
Miriam Strout,2,Miriam,,Strout
Arnulf Moe,2,Arnulf,,Moe
Orla Quirke,2,Orla,,Quirke
Sacharissa Tugwood,2,Sacharissa,,Tugwood
Fleamont Potter,2,Fleamont,,Potter
Astoria Greengrass,2,Astoria,,Greengrass
Jimmy Peakes,2,Jimmy,,Peakes
Octavius Pepper,2,Octavius,,Pepper
Jack Sloper,2,Jack,,Sloper
Stamford Jorkins,2,Stamford,,Jorkins
Holly Flax,2,Holly,,Flax
Porteus Knatchbull,2,Porteus,,Knatchbull
Mr. Borgin,2,Mr.,,Borgin
Tina Goldstein,2,Tina,,Goldstein
Buckley Cooper,2,Buckley,,Cooper
Helene Beesly,2,Helene,,Beesly
Maximillian Crowdy,2,Maximillian,,Crowdy
Samson Wiblin,2,Samson,,Wiblin
Mopsy Fleabert,2,Mopsy,,Fleabert
Hermione Granger,2,Hermione,,Granger
Joseph Stalin,2,Joseph,,Stalin
George Bush jnr,3,George,Bush,jnr
Ballyfumble Stranger,2,Ballyfumble,,Stranger
Karen Filippelli,2,Karen,,Filippelli
Chadwick Boot,2,Chadwick,,Boot
Benedita Dourado,2,Benedita,,Dourado
Septimus Malfoy,2,Septimus,,Malfoy
Cassandra Vablatsky,2,Cassandra,,Vablatsky
Albert Runcorn,2,Albert,,Runcorn
Madame Bonhabille,2,Madame,,Bonhabille
Frank Longbottom,2,Frank,,Longbottom
Devlin Whitehorn,2,Devlin,,Whitehorn
Quintia McQuoid,2,Quintia,,McQuoid
Emmeline Pankhurst ,2,Emmeline,Pankhurst,
Robert California,2,Robert,,California
Tangwystl (Goshawk?),2,Tangwystl,,(Goshawk?)
Arkie Philpott,2,Arkie,,Philpott
Oswald Beamish,2,Oswald,,Beamish
Nikola Vassileva,2,Nikola,,Vassileva
Quong Po,2,Quong,,Po
Rudolph Spielman,2,Rudolph,,Spielman
Harry Potter,2,Harry,,Potter
Meaghan McCormack,2,Meaghan,,McCormack
Angela Martin,2,Angela,,Martin
Angelus Peel,2,Angelus,,Peel
Theodore Nott,2,Theodore,,Nott
Gladys Gudgeon,2,Gladys,,Gudgeon
Theodard Fontaine,2,Theodard,,Fontaine
Harvey Ridgebit,2,Harvey,,Ridgebit
Roxanne Weasley,2,Roxanne,,Weasley
Flavius Belby,2,Flavius,,Belby
Alecto Carrow,2,Alecto,,Carrow
Ngapo Ponika,2,Ngapo,,Ponika
Hortensia Milliphutt,2,Hortensia,,Milliphutt
Charis Black,2,Charis,,Black
Albert Boot,2,Albert,,Boot
Ignatia Wildsmith,2,Ignatia,,Wildsmith
Wright Brothers,2,Wright,,Brothers
Gilderoy Lockhart,2,Gilderoy,,Lockhart
Arsenia Gonzales,2,Arsenia,,Gonzales
Delfina Crimp,2,Delfina,,Crimp
Berthilde Roche,2,Berthilde,,Roche
Morag Macdougal,2,Morag,,Macdougal
Thornton Harkaway,2,Thornton,,Harkaway
Queen Elizabeth II,3,Queen,Elizabeth,II
Eva Peron,2,Eva,,Peron
Jarleth Hobart,2,Jarleth,,Hobart
Susan Blancheflower,2,Susan,,Blancheflower
Dean Thomas,2,Dean,,Thomas
Tom Cruise,2,Tom,,Cruise
Balfour Blane,2,Balfour,,Blane
Lucas Picquery,2,Lucas,,Picquery
George Weasley,2,George,,Weasley
Mata Hari,2,Mata,,Hari
Robert Grimsditch,2,Robert,,Grimsditch
Romilda (Goshawk?),2,Romilda,,(Goshawk?)
Marvolo Gaunt,2,Marvolo,,Gaunt
Isolt Sayre,2,Isolt,,Sayre
Gwendolyn Morgan,2,Gwendolyn,,Morgan
Emmeline Vance,2,Emmeline,,Vance
Julie Andrews,2,Julie,,Andrews
Dwight Schrute,2,Dwight,,Schrute
Alberic Grunnion,2,Alberic,,Grunnion
Libatius Borage,2,Libatius,,Borage
Gemma Farley,2,Gemma,,Farley
Padma Patil,2,Padma,,Patil
Jo Bennett,2,Jo,,Bennett
Adolf Hitler,2,Adolf,,Hitler
Alfred Cattermole,2,Alfred,,Cattermole
Roger Davies,2,Roger,,Davies
Malala Yousafzai,2,Malala,,Yousafzai
Anne Frank,2,Anne,,Frank
Webster Boot,2,Webster,,Boot
Andy Bernard,2,Andy,,Bernard
Stubby Boardman,2,Stubby,,Boardman
Gregory Goyle,2,Gregory,,Goyle
Kylie Minogue,2,Kylie,,Minogue
Leon Trotsky,2,Leon,,Trotsky
Jawaharlal Nehru,2,Jawaharlal,,Nehru
Paul McCartney,2,Paul,,McCartney
Vicky Frobisher,2,Vicky,,Frobisher
Janus Thickey,2,Janus,,Thickey
Myron Wagtail,2,Myron,,Wagtail
Vindictus Viridian,2,Vindictus,,Viridian
Chauncey Oldridge,2,Chauncey,,Oldridge
Oliver Rivers,2,Oliver,,Rivers
Mrs. Boot,2,Mrs.,,Boot
Walt Disney,2,Walt,,Disney
Parvati Patil,2,Parvati,,Patil
Sidney Todd,2,Sidney,,Todd
Todd Packer,2,Todd,,Packer
Vincent Van Gogh,3,Vincent,Van,Gogh
Evan Rosier,2,Evan,,Rosier
Crabbe Sr.,2,Crabbe,,Sr.
Almerick Sawbridge,2,Almerick,,Sawbridge
Armenian warlock,2,Armenian,,warlock
Abraham Peasegood,2,Abraham,,Peasegood
Orford Umbridge,2,Orford,,Umbridge
Scorpius Malfoy,2,Scorpius,,Malfoy
Lily Potter,2,Lily,,Potter
Elias Grimstone,2,Elias,,Grimstone
Bogomil Levski,2,Bogomil,,Levski
Zacharias Mumps,2,Zacharias,,Mumps
Yardley Platt,2,Yardley,,Platt
João Coelho,2,João,,Coelho
Hambledon Quince,2,Hambledon,,Quince
Alice Longbottom,2,Alice,,Longbottom
Primrose Jorkins,2,Primrose,,Jorkins
Betty Braithwaite,2,Betty,,Braithwaite
John Dawlish,2,John,,Dawlish
Ted Tonks,2,Ted,,Tonks
Narcissa Malfoy,2,Narcissa,,Malfoy
Priscilla Dupont,2,Priscilla,,Dupont
Thiago Quintana,2,Thiago,,Quintana
Ali Bashir,2,Ali,,Bashir
Victoire Weasley,2,Victoire,,Weasley
Harold Minchum,2,Harold,,Minchum
Mungo MacDuff,2,Mungo,,MacDuff
David Beckham,2,David,,Beckham
Venusia Crickerly,2,Venusia,,Crickerly
Millicent Bulstrode,2,Millicent,,Bulstrode
Mary Jauncey,2,Mary,,Jauncey
Cyprian Youdle,2,Cyprian,,Youdle
Muhammad Ali,2,Muhammad,,Ali
Stan Shunpike,2,Stan,,Shunpike
Cormac O’Brien,2,Cormac,,O’Brien
Lee Jordan,2,Lee,,Jordan
Lyndon Johnson,2,Lyndon,,Johnson
Bridget Wenlock,2,Bridget,,Wenlock
Ronald Reagan,2,Ronald,,Reagan
Ludo Bagman,2,Ludo,,Bagman
Lord Voldemort,2,Lord,,Voldemort
Leonardo da Vinci,3,Leonardo,da,Vinci
Fabius Watkins,2,Fabius,,Watkins
Gabe Lewis,2,Gabe,,Lewis
Josiah Jackson,2,Josiah,,Jackson
Modesty Rabnott,2,Modesty,,Rabnott
Adalbert Waffling,2,Adalbert,,Waffling
Dzou Yen,2,Dzou,,Yen
Oliver Wood,2,Oliver,,Wood
